concat("https://git.educoder.net/", m.repo_name, ".git")	shixun_id	name
https://git.educoder.net/p97468130/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p50628714/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p37592046/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p03495126/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p70589324/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p75190638/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p12034596/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/m70325891/r4vlju5x.git	99	C&C++指针实训
https://git.educoder.net/p76254130/r4vlju5x.git	99	C&C++指针实训
https://git.educoder.net/m91452783/guzqi4nm.git	101	C&C++线性表实训
https://git.educoder.net/p48357920/r4vlju5x.git	99	C&C++指针实训
https://git.educoder.net/m34756012/r4vlju5x.git	99	C&C++指针实训
https://git.educoder.net/p49758320/r4vlju5x.git	99	C&C++指针实训
https://git.educoder.net/m76095231/p4f2jtkq.git	717	程序设计二（面向对象）_实训1_封装
